"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"486",2008,"28","NE STATE GOVT","26254","453"
"487",2008,"29","NV STATE GOVT","40401","0"
"488",2008,"30","NH STATE GOVT","12508","3061"
"489",2008,"31","NJ STATE GOVT","104104","7804"
"490",2008,"32","NM STATE GOVT","41230","3061"
"491",2008,"33","NY STATE GOVT","205253","47697"
"492",2008,"34","NC STATE GOVT","260382","14751"
"493",2008,"35","ND STATE GOVT","6916","247"
"494",2008,"36","OH STATE GOVT","92696","38668"
"495",2008,"37","OK STATE GOVT","86433","5030"
"496",2008,"38","OR STATE GOVT","15543","2999"
"497",2008,"39","PA STATE GOVT","277427","16458"
"498",2008,"40","RI STATE GOVT","11495","266"
"499",2008,"41","SC STATE GOVT","150065","7377"
"500",2008,"42","SD STATE GOVT","13808","319"
"501",2008,"43","TN STATE GOVT","116189","12222"
"502",2008,"44","TX STATE GOVT","784069","52891"
"503",2008,"45","UT STATE GOVT","39697","1934"
"504",2008,"46","VT STATE GOVT","19812","382"
"505",2008,"47","VA STATE GOVT","175654","11235"
"506",2008,"48","WA STATE GOVT","266939","11217"
"507",2008,"49","WV STATE GOVT","9465","16327"
"508",2008,"50","WI STATE GOVT","54789","1360"
"509",2008,"51","WY STATE GOVT","1633","0"
"510",2007,"00","US STATE GOVTS","5166491","447986"
"511",2007,"01","AL STATE GOVT","158886","3563"
"512",2007,"02","AK STATE GOVT","35044","1777"
"513",2007,"03","AZ STATE GOVT","63190","9986"
"514",2007,"04","AR STATE GOVT","46755","1822"
"515",2007,"05","CA STATE GOVT","333789","48881"
